id;nom;siret;email
1;avex tranquille près;brusque doucement de façon à ce que;Beuve.Meunier39@gmail.com
2;comment hors compenser;tandis que;Lazare_Gonzalez@yahoo.fr
3;si bien que;derrière cot cot;Gael43@hotmail.fr
4;fort ah partenaire;triste infiniment même;Priscille.Fournier57@gmail.com
5;ainsi tant moquer;plouf;Delphin95@hotmail.fr
6;d’autant que émérite;bang ah;Arsene_Aubry@hotmail.fr
7;joliment sans;parfois trop autour;Elsa11@hotmail.fr
8;au point que vide;autour de;Martin.Simon11@gmail.com
9;si bien que dérober;apparemment de peur que;Morgane.Giraud10@yahoo.fr
10;parce que bang;considérable;Damien91@yahoo.fr
